Province,Basin,Section_name,Monitoring_time,Water_quality_class,Water_temperature(°C),pH,Dissolved_oxygen(mg/L),Electrical_conductivity(μS/cm),Turbidity(NTU),COD_Mn(mg/L),NH3-N(mg/L),TP(mg/L),TN(mg/L),Chlorophyll_a(mg/L),Algae_density(cells/L)
黑龙江省,Songhua River Basin,磨盘山水库出口,11-02 20:00,2,11.8,7,8.3,70.1,5.8,4.2,0.04,0.023,1.88,0.002,2572290
黑龙江省,Songhua River Basin,三道,11-02 20:00,4,14.3,7,8.5,118.4,63.0,4.4,0.02,0.102,2.97,0.030,28544
江苏省,Lake Tai Basin,锡东水厂,11-01 12:00,2,18.8,8,8.3,344.0,56.8,2.6,0.02,0.034,0.83,0.008,3732680
江苏省,Lake Tai Basin,兰山嘴,11-01 20:00,3,18.4,8,9.3,272.9,65.4,4.7,0.02,0.090,1.04,0.003,10949310
江苏省,Lake Tai Basin,胥湖心,11-02 20:00,1,19.1,8,9.1,323.3,89.7,2.4,0.02,0.021,0.79,0.003,1422020
江苏省,Lake Tai Basin,阳澄湖心,11-02 20:00,3,18.8,8,9.5,390.3,25.6,4.9,0.10,0.058,0.67,0.010,29879800
江苏省,Huai River Basin,老山乡,11-02 20:00,3,18.6,8,10.4,628.2,72.6,3.9,0.02,0.081,1.70,0.084,92299800
江苏省,Huai River Basin,高良涧镇,11-02 20:00,2,18.2,8,10.8,614.3,44.4,3.7,0.02,0.049,1.18,0.028,6440220
江苏省,Huai River Basin,洪金,11-02 20:00,3,17.8,8,9.2,522.3,43.8,7.7,0.12,0.055,1.36,0.018,9222760
江苏省,Huai River Basin,临淮乡,11-02 20:00,2,17.9,8,10.1,504.8,156.3,4.3,0.02,0.044,1.16,0.010,6289180
江苏省,Huai River Basin,成河乡中,10-31 12:00,3,18.0,8,9.1,453.1,62.7,4.3,0.02,0.058,1.49,0.022,6163793
江苏省,Huai River Basin,龙集镇北,11-02 20:00,1,18.8,9,11.9,625.7,18.2,2.8,0.02,0.022,0.52,0.009,20344830
江苏省,Huai River Basin,骆马湖乡,11-02 20:00,2,16.7,8,14.8,520.9,9.5,3.3,0.02,0.035,1.46,0.011,1874145
江苏省,Huai River Basin,三场,11-02 20:00,2,17.8,9,11.2,652.3,11.5,3.7,0.02,0.028,1.12,0.013,1748342
浙江省,Zhejiang-Fujian Rivers,北湖中心,11-02 20:00,3,19.5,6,8.4,66.5,39.9,1.8,0.17,0.074,3.54,0.010,293996
浙江省,Zhejiang-Fujian Rivers,铜山源水库,11-02 20:00,1,21.8,8,8.1,85.2,13.8,1.1,0.02,0.014,0.24,0.029,29852000
浙江省,Zhejiang-Fujian Rivers,里石门水库,11-02 20:00,1,21.5,7,8.0,65.8,6.1,1.9,0.02,0.012,0.50,0.006,3315634
安徽省,Chao Lake Basin,湖滨,11-02 20:00,3,19.6,8,9.6,373.3,28.1,2.9,0.02,0.064,1.18,0.006,992604
安徽省,Chao Lake Basin,黄麓,11-02 20:00,2,18.5,9,10.8,298.4,21.0,4.2,0.05,0.038,0.40,0.024,38425480
安徽省,Chao Lake Basin,靠近大坝,11-02 20:00,2,20.7,8,10.1,91.7,85.0,3.4,0.02,0.026,0.99,0.014,7029316
安徽省,Chao Lake Basin,新河入湖区,11-02 20:00,3,17.7,8,28.4,359.2,34.2,3.4,0.02,0.068,1.30,0.004,27682240
安徽省,Chao Lake Basin,西半湖湖心,11-02 20:00,3,18.6,9,11.6,404.4,28.0,5.6,0.02,0.077,1.87,0.007,13285320
安徽省,Chao Lake Basin,龟山,11-02 20:00,4,18.8,8,8.5,297.4,43.5,13.3,0.02,0.050,1.79,0.006,3619400
安徽省,Chao Lake Basin,东半湖湖心,11-02 20:00,2,19.0,9,11.3,428.7,17.1,4.3,0.02,0.023,0.60,0.197,23205180
安徽省,Chao Lake Basin,忠庙,11-02 20:00,2,18.9,8,9.5,308.7,20.2,3.9,0.02,0.046,1.01,0.006,3050015
安徽省,Chao Lake Basin,兆河入湖区,11-02 20:00,2,18.6,8,10.7,285.9,18.3,3.4,0.02,0.050,0.74,0.010,4175924
安徽省,Huai River Basin,瓦埠湖,11-02 20:00,3,19.6,8,8.6,302.5,92.5,4.2,0.02,0.061,1.23,0.007,6719268
安徽省,Huai River Basin,焦岗湖,11-02 20:00,3,20.2,8,7.0,864.4,12.6,6.5,0.05,0.046,0.79,0.003,19075660
安徽省,Yangtze River Basin,菜子湖,11-02 20:00,3,19.1,8,9.4,145.6,89.4,3.0,0.02,0.072,3.77,0.007,8880087
安徽省,Yangtze River Basin,龙感湖湖心（皖）,11-02 20:00,3,16.2,7,8.3,229.0,152.9,4.5,0.02,0.084,1.48,0.017,18303390
安徽省,Yangtze River Basin,武昌湖,11-02 20:00,2,18.8,7,7.5,124.3,27.3,2.9,0.02,0.037,1.13,0.013,13210590
安徽省,Yangtze River Basin,花亭湖坝前,11-02 20:00,2,21.8,7,5.9,91.3,0.6,1.6,0.07,0.008,0.46,0.005,198493
安徽省,Yangtze River Basin,大官湖,11-02 20:00,3,17.2,8,9.1,265.4,173.4,3.5,0.02,0.074,1.37,0.004,11835130
安徽省,Yangtze River Basin,黄湖,11-02 20:00,3,16.0,8,9.4,308.4,194.9,4.5,0.02,0.089,4.81,0.002,9310621
安徽省,Yangtze River Basin,太平湖湖心,11-02 20:00,1,21.2,8,7.2,98.4,2.6,1.7,0.09,0.021,0.56,0,1816958
安徽省,Yangtze River Basin,升金湖中心点,11-02 20:00,3,18.9,8,7.4,221.5,109.1,3.6,0.02,0.059,0.61,0.001,5509119
安徽省,Yangtze River Basin,南漪湖西湖湖心,11-02 20:00,3,18.7,7,9.2,172.0,66.8,2.8,0.02,0.061,1.14,0.011,68497960
福建省,Zhejiang-Fujian Rivers,山美水库库心,11-02 12:00,1,27.8,7,6.4,113.7,2.9,1.5,0.02,0.024,1.61,0.019,7489460
江西省,Yangtze River Basin,蛤蟆石,11-02 20:00,3,19.2,8,8.3,194.9,158.5,2.7,0.02,0.089,1.46,0.001,570304
江西省,Yangtze River Basin,都昌,11-02 20:00,3,20.2,7,8.4,221.1,123.6,2.0,0.10,0.057,1.92,0.005,7669141
江西省,Yangtze River Basin,仙女湖湖心岛,11-02 20:00,3,21.9,8,10.0,272.5,11.7,4.1,0.16,0.090,1.11,0.001,16482450
江西省,Yangtze River Basin,康山,11-02 20:00,3,18.8,7,8.3,165.4,50.2,0.2,0.09,0.067,1.45,0.007,659914
山东省,Huai River Basin,崂山水库中心,11-02 16:00,1,17.8,7,6.1,234.1,10.1,3.2,0.03,0.021,1.90,0.021,2764000
山东省,Huai River Basin,峡山水库库中,11-02 20:00,3,16.8,8,4.6,661.0,8.4,4.2,0.03,0.044,0.99,0.006,18799200.00
山东省,Huai River Basin,二级坝,11-02 20:00,2,18.4,8,5.8,732.7,8.3,3.8,0.06,0.048,1.26,0.001,523438
山东省,Huai River Basin,云蒙湖湖心,11-02 20:00,2,18.7,8,7.7,437.1,4.1,3.3,0.02,0.036,5.01,0.007,1690230
山东省,Hai River Basin,北湖,11-02 20:00,1,18.5,9,10.0,943.9,2.9,2.4,0.04,0.018,1.36,0.014,8286557
河南省,Huai River Basin,白龟山水库,11-02 20:00,2,19.2,9,10.4,428.6,8.7,3.5,0.02,0.030,3.15,0.022,2774990
河南省,Yangtze River Basin,五龙泉,11-02 20:00,0,21.5,8,8.2,271.2,2.8,2.0,0.02,0.010,1.04,0.005,860000
河南省,Yangtze River Basin,陶岔,11-02 20:00,1,21.3,8,8.0,275.6,3.8,1.8,0.02,0.011,1.16,0.002,841100
河南省,Yellow River Basin,南山,11-02 20:00,1,17.7,8,10.3,948.3,2.2,1.8,0.02,0.017,2.90,0.013,2459572
湖北省,Yangtze River Basin,江夏湖心,11-02 20:00,3,20.4,9,12.9,238.0,25.8,6.5,0.30,0.058,1.09,0.017,22486620
湖北省,Yangtze River Basin,西梁子湖湖心（南北嘴）,11-02 20:00,1,20.1,8,8.5,161.2,27.1,3.2,0.02,0.021,0.61,0.002,6401085
湖北省,Yangtze River Basin,牛山湖湖心,11-02 20:00,1,20.5,8,8.0,195.3,22.3,3.0,0.02,0.021,0.49,0.005,4028998
湖北省,Yangtze River Basin,西梁子湖湖北,11-02 20:00,1,20.6,8,9.4,165.6,31.8,2.8,0.02,0.020,0.94,0.003,1335170
湖北省,Yangtze River Basin,丹江口水库坝上中,11-02 20:00,1,20.3,7,7.1,251.0,7.5,1.8,0.11,0.013,0.90,0.067,9841000
湖北省,Yangtze River Basin,隔河岩水库坝上,11-02 20:00,1,20.2,8,6.6,237.1,2.2,1.0,0.02,0.005,2.05,0.036,2432174
湖北省,Yangtze River Basin,梁子岛水源(七星),11-02 20:00,3,21.7,8,8.2,172.7,33.8,2.9,0.10,0.055,1.21,0.018,165653000
湖北省,Yangtze River Basin,漳河水库库心,11-02 20:00,0,19.4,8,9.6,313.4,2.1,1.7,0.02,0.005,0.51,0.001,3514774
湖北省,Yangtze River Basin,湖心A(洪湖湖心A),11-02 20:00,3,21.0,8,8.4,428.2,146.1,5.6,0.02,0.082,1.95,0.005,68896300
湖北省,Yangtze River Basin,杨柴湖,11-02 20:00,3,20.0,7,5.6,410.1,60.9,6.6,0.13,0.070,1.07,0.006,2119408
湖北省,Yangtze River Basin,排水闸,11-02 20:00,3,19.4,8,7.9,417.1,128.1,5.7,0.02,0.091,1.26,0.009,60748070
湖北省,Yangtze River Basin,湖心B(洪湖湖心B),11-02 20:00,4,18.7,8,8.0,419.7,228.0,7.4,0.29,0.148,2.49,0.013,108602
湖北省,Yangtze River Basin,白莲河水库坝上,11-02 20:00,2,22.8,7,5.8,94.8,6.8,2.1,0.02,0.033,0.49,0.015,21775760
湖北省,Yangtze River Basin,咸宁湖心,11-02 20:00,3,20.8,9,14.5,177.7,35.0,6.7,0.06,0.049,0.66,0.008,18121870
湖北省,Yangtze River Basin,富水水库,11-02 20:00,1,21.6,7,7.8,160.1,7.1,2.3,0.06,0.022,0.48,0.013,29928000
湖南省,Yangtze River Basin,岳阳楼,11-02 20:00,3,20.0,8,7.0,252.6,71.7,2.2,0.02,0.076,1.77,0.010,200590
湖南省,Yangtze River Basin,蒋家嘴,11-02 20:00,3,19.0,8,8.0,235.5,37.4,1.3,0.12,0.077,1.40,0.004,20710000
湖南省,Yangtze River Basin,万家嘴,11-02 20:00,1,22.4,8,7.9,228.8,11.9,0.9,0.02,0.044,1.45,0.002,328149
湖南省,Yangtze River Basin,万子湖,11-02 20:00,2,21.4,8,9.0,230.8,56.6,1.2,0.02,0.040,1.33,0.002,5147910
湖南省,Yangtze River Basin,南嘴,11-02 20:00,2,21.2,8,8.0,284.8,87.1,1.6,0.02,0.047,1.36,0.005,574787
湖南省,Yangtze River Basin,小河嘴,11-02 20:00,2,21.6,8,9.1,235.2,40.8,1.4,0.02,0.038,1.19,0.002,50912600
湖南省,Yangtze River Basin,大通湖,11-02 20:00,3,20.0,8,7.3,366.3,42.5,4.0,0.02,0.094,1.25,0.006,4494110
湖南省,Yangtze River Basin,头山,11-02 20:00,1,22.2,7,6.8,100.0,3.7,0.8,0.02,0.007,0.70,0.005,1123000
广东省,Pearl River Basin,渠首,11-02 20:00,2,25.6,8,7.5,105.6,19.3,4.0,0.23,0.027,1.02,0.017,45345260
广东省,Pearl River Basin,良德水库,11-02 20:00,2,27.1,7,5.4,68.9,4.0,1.2,0.03,0.010,0.23,0.005,1601400
广西壮族自治区,Pearl River Basin,龙岩滩水库,11-02 20:00,1,24.7,8,7.4,329.7,3.0,0.9,0.02,0.015,1.90,0.005,1284690
海南省,Pearl River Basin,大隆水库出口,11-02 20:00,1,26.5,7,6.7,96.0,5.1,2.8,0.02,0.021,0.95,0.008,5116020.00
海南省,Pearl River Basin,松涛水库南丰库心,11-02 20:00,0,25.9,7,7.6,79.8,2.7,1.6,0.02,0.010,0.45,0.007,1492966
海南省,Pearl River Basin,大广坝水库库心,11-02 20:00,4,24.6,7,8.3,64.4,125.6,3.7,0.02,0.139,1.65,0.006,7538640
重庆市,Yangtze River Basin,玉滩水库,11-02 20:00,3,23.6,7,4.3,378.8,7.6,4.0,0.02,0.030,0.62,0.040,636730
四川省,Yangtze River Basin,鲁班岛,11-02 20:00,1,20.6,8,9.3,263.6,14.1,1.9,0.02,0.019,0.27,0.004,4991470
四川省,Yangtze River Basin,邛海湖心,11-02 20:00,2,21.0,8,5.8,325.2,4.2,1.8,0.02,0.020,0.37,0.002,13902
贵州省,Yangtze River Basin,贵铝泵房,11-02 20:00,1,20.4,8,7.0,447.7,1.8,3.0,0.02,0.022,1.32,0.007,1705246
贵州省,Yangtze River Basin,花鱼洞,11-02 20:00,3,18.9,8,4.2,352.1,8.0,2.4,0.02,0.012,1.20,0.005,2196848
贵州省,Pearl River Basin,万峰湖(万峰湖湖心),11-02 20:00,0,24.7,7,7.8,433.6,4.0,1.7,0.02,0.010,3.38,0.030,431201
云南省,Pearl River Basin,阳宗海中,11-02 20:00,2,20.2,8,7.0,427.7,3.7,4.1,0.02,0.017,0.38,0.005,825314
云南省,Dianchi Lake Basin,草海中心,11-02 20:00,3,19.3,8,9.7,468.4,22.0,5.8,0.09,0.068,3.70,0.040,32244800
云南省,Dianchi Lake Basin,灰湾中,10-12 00:00,3,18.7,8,5.5,537.6,16.4,6.5,0.81,0.050,0.98,0.004,6665170
云南省,Dianchi Lake Basin,罗家营,11-02 20:00,3,19.7,9,7.9,513.8,18.1,6.5,0.42,0.043,1.97,0.008,73131400
云南省,Dianchi Lake Basin,观音山中,11-02 20:00,3,18.6,8,8.7,522.1,17.0,7.1,0.53,0.047,2.01,0.009,120275000
云南省,Dianchi Lake Basin,观音山西,11-02 20:00,5,19.0,9,8.9,553.3,23.5,6.8,2.50,0.062,2.03,0.007,115951000
云南省,Dianchi Lake Basin,海口西,11-02 20:00,3,19.2,9,8.9,522.7,17.5,8.0,0.57,0.044,1.62,0.022,40856000
云南省,Dianchi Lake Basin,滇池南,10-31 12:00,3,20.0,8,6.0,533.0,17.4,7.8,0.34,0.071,2.04,0.008,11030500
云南省,Dianchi Lake Basin,白鱼口,11-02 20:00,3,18.7,9,8.6,558.9,20.1,7.6,0.61,0.060,1.84,0.006,57438850
云南省,Dianchi Lake Basin,断桥,11-02 20:00,3,19.1,8,9.4,545.4,12.0,3.8,0.02,0.078,5.63,0.009,13425710
云南省,Pearl River Basin,抚仙湖心,11-02 20:00,1,20.6,8,7.1,237.6,1.7,1.4,0.02,0.009,0.26,0.002,1280025
云南省,Pearl River Basin,星云湖心,11-02 20:00,4,20.7,9,7.1,663.2,28.4,7.3,0.10,0.145,1.06,0,52154280
云南省,Yangtze River Basin,程海湖中,11-02 20:00,2,23.4,9,7.3,1371.7,2.6,5.3,0.02,0.023,0.87,0.014,10000
云南省,Yangtze River Basin,泸沽湖湖心(泸沽湖),11-02 20:00,0,17.0,9,8.6,211.7,2.8,1.0,0.02,0.005,0.07,0.004,731902
云南省,Pearl River Basin,异龙湖中,11-02 20:00,4,21.4,9,7.1,560.6,10.4,12.9,0.02,0.043,1.35,0.014,34936400
云南省,Southwest Rivers,洱海湖心,11-02 20:00,2,19.7,9,8.8,264.6,7.2,4.5,0.02,0.020,0.33,0.021,39991600
陕西省,Yangtze River Basin,石门水库,11-02 20:00,1,17.3,8,7.3,231.2,16.0,2.4,0.02,0.011,1.14,0.009,1766486
陕西省,Yangtze River Basin,瀛湖坝前,11-02 20:00,2,22.5,8,5.3,263.7,3.4,1.5,0.08,0.019,1.22,0.024,1845441
甘肃省,Northwest Rivers,红崖山水库,11-02 20:00,1,10.8,8,8.2,513.2,143.1,1.2,0.02,0.021,1.94,0.016,1384836
青海省,Yellow River Basin,龙羊峡库区出水口,11-02 20:00,0,14.0,8,7.6,459.6,2.9,1.7,0.02,0.006,0.53,0.003,242021
宁夏回族自治区,Yellow River Basin,鸭子荡水库,11-02 20:00,1,12.1,8,9.8,861.3,3.7,1.1,0.02,0.011,1.84,0.004,887259
宁夏回族自治区,Yellow River Basin,香山湖,11-02 20:00,0,16.1,9,10.6,648.4,5.4,1.8,0.11,0.005,0.79,0.008,3247890
新疆维吾尔自治区,Northwest Rivers,赛湖2,11-02 20:00,0,7.7,9,11.2,0,12.6,1.2,0.10,0.010,0.35,0.008,17650
新疆维吾尔自治区,Northwest Rivers,博湖5,11-02 20:00,2,14.0,9,9.2,1335.7,1.5,5.9,0.03,0.006,0.36,0.002,1029373
新疆维吾尔自治区,Northwest Rivers,博湖7,11-02 20:00,2,11.6,9,10.0,1239.2,2.9,5.3,0.06,0.008,0.38,0.005,1507099
新疆维吾尔自治区,Northwest Rivers,博湖14,11-02 20:00,2,12.6,9,8.8,1275.1,6.2,4.8,0.02,0.008,0.30,0.005,642286
河北省,Hai River Basin,衡水湖大湖心,11-03 20:00,2,17.6,9,7.8,1275.1,47.0,5.0,0.02,0.034,0.39,0.009,10069720
河北省,Hai River Basin,烧车淀,11-03 20:00,2,14.5,8,8.7,671.0,2.5,1.8,0.02,0.028,3.90,0.005,1269560
河北省,Hai River Basin,圈头,11-03 20:00,2,15.0,8,7.1,636.6,2.3,4.1,0.02,0.026,0.67,0.003,799429
河北省,Hai River Basin,采蒲台,11-03 20:00,2,15.3,8,7.2,794.0,2.9,4.7,0.03,0.018,0.73,0.004,6939179
河北省,Hai River Basin,光淀张庄,11-03 20:00,1,14.7,7,7.0,625.5,8.0,2.1,0.02,0.015,2.85,0.003,618747
山西省,Yellow River Basin,汾河水库出口,11-03 20:00,1,12.0,8,8.1,605.0,10.5,2.6,0.02,0.005,1.20,0.010,428730
内蒙古自治区,Songhua River Basin,小河口,11-01 08:00,5,4.2,9,11.4,1240.7,67.6,11.2,0.24,0.221,1.54,0.026,35262000
内蒙古自治区,Songhua River Basin,出口(察尔森水库),11-03 20:00,2,9.2,8,11.3,185.1,73.5,3.9,0.03,0.046,2.16,0.016,810401
吉林省,Songhua River Basin,大丰满,11-03 20:00,3,13.8,7,8.1,145.2,17.5,3.9,0.02,0.053,2.63,0.002,405951
吉林省,Songhua River Basin,沙石浒,11-03 20:00,3,13.7,7,8.0,139.0,24.2,4.6,0.02,0.062,2.70,0.002,1479404
吉林省,Songhua River Basin,小荒地,11-03 20:00,3,12.7,7,9.0,158.5,44.0,4.5,0.02,0.063,2.82,0.003,778014
黑龙江省,Songhua River Basin,磨盘山水库出口,11-03 20:00,2,11.4,7,8.6,70.6,5.1,4.4,0.03,0.022,1.86,0.002,1761280
黑龙江省,Songhua River Basin,三道,11-03 20:00,4,14.0,7,8.4,118.8,61.5,4.5,0.02,0.101,2.97,0.030,29184
上海市,Lake Tai Basin,急水港桥,11-03 20:00,1,19.4,8,8.1,521.6,23.1,3.0,0.18,0.093,3.00,0.005,886369
江苏省,Lake Tai Basin,锡东水厂,11-01 12:00,2,18.8,8,8.3,344.0,56.8,2.6,0.02,0.034,0.83,0.008,3732680
江苏省,Lake Tai Basin,兰山嘴,11-03 20:00,2,18.8,8,9.7,270.0,24.8,3.1,0.02,0.046,0.92,0.002,6337327
江苏省,Lake Tai Basin,拖山,11-03 20:00,1,19.1,8,9.6,339.4,37.0,3.2,0.02,0.013,1.11,0.007,861457
江苏省,Lake Tai Basin,胥湖心,11-03 20:00,1,20.1,8,9.6,330.2,58.5,2.3,0.02,0.016,0.16,0.002,1009170
江苏省,Lake Tai Basin,乌龟山南,11-03 20:00,3,19.9,8,9.4,309.6,130.9,3.0,0.02,0.078,0.77,0.018,8602460
江苏省,Lake Tai Basin,阳澄湖心,11-03 20:00,3,20.5,9,14.6,424.1,14.8,5.2,0.02,0.054,0.75,0.010,33492500
江苏省,Huai River Basin,老山乡,11-03 20:00,3,18.9,8,11.2,671.3,77.8,4.0,0.02,0.081,1.51,0.087,128442000
江苏省,Huai River Basin,蒋坝镇,11-03 20:00,3,17.8,8,9.1,749.5,17.3,3.1,0.02,0.070,1.46,0.008,4240460
江苏省,Huai River Basin,高良涧镇,11-03 20:00,2,19.3,8,12.2,625.8,28.0,3.8,0.02,0.033,1.27,0.024,5095110
江苏省,Huai River Basin,洪金,11-03 20:00,3,18.6,8,10.5,500.6,23.4,7.7,0.10,0.051,1.22,0.024,9255230
江苏省,Huai River Basin,临淮乡,11-03 20:00,2,18.2,9,11.2,506.5,23.5,4.5,0.02,0.043,1.09,0.005,3742849
江苏省,Huai River Basin,成河乡中,11-03 20:00,2,18.9,9,11.3,485.6,37.0,4.7,0.02,0.040,1.38,0.018,4646552
江苏省,Huai River Basin,龙集镇北,11-03 20:00,1,18.4,9,11.0,0,13.8,3.3,0.02,0.022,0.61,0,7586207
江苏省,Huai River Basin,骆马湖乡,11-03 20:00,2,16.4,8,13.5,525.6,8.4,2.1,0.02,0.029,1.36,0.010,2426120
江苏省,Huai River Basin,三场,11-03 20:00,1,18.3,9,11.0,651.8,12.1,3.7,0.02,0.025,1.11,0.014,2318109
浙江省,Zhejiang-Fujian Rivers,北湖中心,11-03 20:00,3,19.8,6,8.4,79.6,31.8,1.6,0.05,0.056,2.95,0.040,227366
浙江省,Zhejiang-Fujian Rivers,铜山源水库,11-03 20:00,1,20.9,8,9.9,85.1,4.4,1.0,0.02,0.016,0.28,0.043,34062000
浙江省,Zhejiang-Fujian Rivers,里石门水库,11-03 20:00,0,21.7,7,8.0,63.9,4.4,1.7,0.02,0.010,0.45,0.007,3401925
安徽省,Chao Lake Basin,湖滨,11-03 20:00,3,20.3,9,10.4,377.2,23.8,2.9,0.02,0.078,1.79,0.006,1401324
安徽省,Chao Lake Basin,靠近大坝,11-03 20:00,1,20.8,8,10.6,92.7,20.3,3.0,0.02,0.024,0.88,0.013,5668535
安徽省,Chao Lake Basin,西半湖湖心,11-03 20:00,3,26.9,9,11.4,400.1,58.2,5.1,0.03,0.064,2.10,0.005,2389548
安徽省,Chao Lake Basin,龟山,11-03 20:00,2,19.4,8,8.7,300.8,37.5,2.5,0.02,0.050,1.63,0.010,4775570
安徽省,Chao Lake Basin,东半湖湖心,11-03 20:00,2,19.9,9,12.0,433.2,16.7,4.1,0.02,0.038,0.36,0.437,16043930
安徽省,Chao Lake Basin,忠庙,11-03 20:00,2,19.4,9,10.1,306.9,22.1,3.8,0.02,0.045,0.99,0.006,2798429
安徽省,Chao Lake Basin,兆河入湖区,11-03 20:00,2,19.2,8,11.3,284.3,15.4,3.4,0.02,0.045,0.72,0.011,6279909
安徽省,Huai River Basin,瓦埠湖,11-03 20:00,3,19.8,8,8.7,301.2,77.7,4.2,0.02,0.051,1.17,0.007,6755229
安徽省,Huai River Basin,焦岗湖,11-03 20:00,3,19.7,8,4.2,866.5,9.7,6.3,0.12,0.046,0.80,0.003,16707800
安徽省,Yangtze River Basin,菜子湖,11-03 20:00,3,19.2,8,9.3,145.4,80.7,3.2,0.02,0.067,3.74,0.009,8738967
安徽省,Yangtze River Basin,龙感湖湖心（皖）,11-03 20:00,3,16.0,7,6.8,227.6,79.4,4.3,0.02,0.066,1.49,0.005,7732474
安徽省,Yangtze River Basin,武昌湖,11-03 20:00,2,18.7,7,6.4,127.7,25.1,2.7,0.02,0.034,1.15,0.013,13263720
安徽省,Yangtze River Basin,花亭湖坝前,11-03 20:00,1,22.0,7,6.0,91.8,0.6,1.5,0.08,0.008,0.44,0.005,179138
安徽省,Yangtze River Basin,大官湖,11-03 20:00,3,18.6,8,10.0,271.0,121.0,2.9,0.02,0.052,1.29,0.005,11118700
安徽省,Yangtze River Basin,黄湖,11-03 20:00,2,16.9,8,9.6,321.5,120.5,3.7,0.02,0.046,3.41,0.007,7643638
安徽省,Yangtze River Basin,太平湖湖心,11-03 20:00,1,21.2,8,6.8,99.3,2.4,1.7,0.10,0.020,0.44,0.002,1009421
安徽省,Yangtze River Basin,升金湖中心点,11-03 20:00,3,20.1,8,8.7,245.6,30.6,4.3,0.03,0.052,0.63,0.002,6990882
安徽省,Yangtze River Basin,南漪湖西湖湖心,11-03 20:00,3,20.1,8,10.9,174.4,44.3,2.8,0.02,0.052,1.11,0.016,41345860
福建省,Zhejiang-Fujian Rivers,山美水库库心,11-02 12:00,1,27.8,7,6.4,113.7,2.9,1.5,0.02,0.024,1.61,0.019,7489460
江西省,Yangtze River Basin,蛤蟆石,11-03 20:00,3,19.5,7,7.9,193.8,155.0,2.4,0.02,0.077,1.40,0.001,576172
江西省,Yangtze River Basin,都昌,11-03 20:00,3,20.9,7,8.0,226.4,116.5,2.0,0.12,0.060,1.99,0.005,7669141
江西省,Yangtze River Basin,仙女湖湖心岛,11-03 20:00,3,22.3,9,12.2,270.0,8.2,4.5,0.29,0.095,1.13,0.001,21145270
江西省,Yangtze River Basin,康山,11-03 20:00,3,19.3,7,8.0,180.9,27.8,1.0,0.08,0.067,1.70,0.007,623276
山东省,Huai River Basin,崂山水库中心,11-03 20:00,1,17.8,7,6.6,234.3,10.5,3.1,0.03,0.023,1.96,0.022,2676000
山东省,Huai River Basin,峡山水库库中,11-03 20:00,3,16.2,8,4.0,657.2,8.3,3.9,0.02,0.035,0.93,0.004,16430500.00
山东省,Huai River Basin,二级坝,11-03 20:00,2,18.3,8,6.7,725.7,8.6,3.9,0.04,0.047,1.18,0.001,523438
山东省,Huai River Basin,云蒙湖湖心,11-03 20:00,2,18.7,8,8.7,436.0,4.1,3.3,0.02,0.035,4.95,0.007,1996910
山东省,Hai River Basin,北湖,11-03 20:00,1,17.9,9,9.7,930.7,2.8,2.4,0.04,0.019,1.36,0.015,9256344
河南省,Huai River Basin,白龟山水库,11-03 20:00,2,18.7,8,7.4,431.2,11.8,3.2,0.02,0.027,0.73,0.016,2670670
河南省,Huai River Basin,昭平台水库,11-03 20:00,1,18.6,8,9.6,265.4,3.6,2.9,0.02,0.014,0.23,0.004,528377
河南省,Yangtze River Basin,五龙泉,11-03 20:00,0,21.9,8,8.1,268.4,2.3,2.0,0.02,0.010,1.01,0.005,915249
河南省,Yangtze River Basin,陶岔,11-03 20:00,1,21.4,8,7.9,276.4,6.0,1.5,0.02,0.012,1.09,0.003,848438
河南省,Yellow River Basin,南山,11-03 20:00,1,16.3,8,9.5,950.6,2.2,1.7,0.09,0.017,2.87,0.010,1899817
湖北省,Yangtze River Basin,江夏湖心,11-03 20:00,3,20.6,9,14.3,230.6,26.3,6.7,0.20,0.054,1.02,0.021,22089970
湖北省,Yangtze River Basin,西梁子湖湖心（南北嘴）,11-03 20:00,1,20.5,8,8.8,161.8,231.5,3.1,0.02,0.023,0.62,0.003,5584981
湖北省,Yangtze River Basin,牛山湖湖心,11-03 20:00,1,20.8,8,8.2,194.4,21.1,3.1,0.02,0.018,0.29,0.004,4072320
湖北省,Yangtze River Basin,西梁子湖湖北,11-03 20:00,1,19.8,8,9.1,164.6,33.3,2.8,0.02,0.021,0.89,0.003,1954104
湖北省,Yangtze River Basin,西梁子湖湖南,11-03 20:00,1,18.5,8,9.8,157.2,35.9,2.4,0.02,0.023,0.35,0.004,8823120
湖北省,Yangtze River Basin,丹江口水库坝上中,11-03 20:00,1,20.2,7,6.9,250.2,7.8,1.0,0.08,0.016,0.94,0.069,9640000
湖北省,Yangtze River Basin,隔河岩水库坝上,11-03 20:00,1,20.3,8,6.7,237.9,2.2,0.9,0.02,0.005,1.99,0.035,2368097
湖北省,Yangtze River Basin,梁子岛水源(七星),11-03 20:00,3,20.4,8,7.8,168.4,34.9,2.7,0.10,0.053,1.12,0.016,153345000
湖北省,Yangtze River Basin,漳河水库库心,11-03 20:00,0,19.4,8,9.8,312.3,2.0,1.9,0.02,0.005,0.52,0.001,3707379
湖北省,Yangtze River Basin,湖心A(洪湖湖心A),11-03 20:00,3,21.8,8,9.4,424.1,117.0,5.3,0.02,0.066,1.78,0.004,60853200
